mag,mean,std
10.5,0.276991844177246,0.237867372101419
11,0.197797911507743,0.19263613023433
11.5,0.131151178380945,0.177668486482683
12,0.0627216396499438,0.124734838876865
12.5,0.05260590218199,0.106196547331696
13,0.0368560620451986,0.0731649577154211
13.5,0.0272846823062743,0.0471621898401948
14,0.025049429036247,0.0347060992420938
14.5,0.0253295462473549,0.0374754842016104
15,0.0260601271155171,0.0449559791236163
15.5,0.0265617008097173,0.0426810121309528
16,0.0271774858950183,0.0396548638015236
16.5,0.0279880747947746,0.0397515085366587
17,0.0291783837878362,0.0457197969957522
17.5,0.0306910001618142,0.0460910370074549
18,0.0333550957969513,0.050665304764952
18.5,0.0377654491869843,0.0560402001541595
19,0.0452804509530968,0.0619481926156843
19.5,0.0579251163615785,0.0707955665091832
20,0.0783079314107081,0.0856704685037641
20.5,0.107171281794265,0.106637275932577
21,0.140404459666976,0.12683654604451
21.5,0.174992431646215,0.147676919783564
22,0.215929720775148,0.174494140924691
22.5,0.337456948098113,0.243690985575122
23,0.612725061318022,0.379159049919433
23.5,1.10853162454053,0.543431885206869
24,1.32776086541671,0.57839720819697
